Comp ,Target MS,ALogP,R6,R1,R2,RT (sec),%T1,%R1,Papp1,%T2,%R2,Papp2,%T3,%R3,Papp3,Ave_%R,SD_%R,Ave_Papp,SD_Papp,Ave LogPapp
1.1-01,609.397,0.12,A01,Ala,A11,211,0.9,87.9,0.08,0.8,98.1,0.07,1,88.7,0.08,91.58,5.66,0.07,0.01,-7.13
1.1-02,621.433,2.03,A01,Ala,A12,234,44.9,82.8,4.82,41.4,95.6,4.32,47.1,89.1,5.16,89.21,6.4,4.77,0.42,-5.32
1.1-03,641.402,1.83,A01,Ala,A13,230,35.9,78.1,3.61,33.5,88.9,3.3,36.8,85.4,3.71,84.14,5.47,3.54,0.21,-5.45
1.1-04,647.449,2.44,A01,Ala,A14,243,68.2,68.6,9.26,62.3,75.6,7.89,71,75.4,10.02,73.19,4,9.06,1.08,-5.04
1.1-05,649.428,0.67,A01,Ala,A15,211,0.7,87.5,0.06,0.6,96.2,0.05,0.7,88.2,0.06,90.63,4.82,0.05,0.01,-7.27
1.1-06,651.444,1.35,A01,Leu,A11,238,29.9,82.8,2.88,27.1,91.1,2.56,31.1,86.2,3.01,86.7,4.16,2.81,0.23,-5.55
1.1-07,656.413,1,A01,Ala,A16,190,0.6,90.6,0.05,0.4,103.4,0.03,0.5,97,0.04,96.99,6.42,0.04,0.01,-7.4
1.1-08,663.48,3.26,A01,Leu,A12,259,76.4,26.1,11.69,74.4,29.7,11.02,76.7,30.2,11.78,28.68,2.22,11.5,0.41,-4.94
1.1-09,669.433,2.61,A01,Ala,A17,236,58,70.9,7.03,56.2,79.8,6.69,58.1,80.6,7.03,77.1,5.36,6.92,0.2,-5.16
1.1-10,671.413,1.88,A01,Ala,A18,235,37.8,65.9,3.85,31.3,78.4,3.04,35.8,75.3,3.59,73.21,6.52,3.49,0.41,-5.46
1.1-11,673.44,1.26,A01,Ala,A19,211,0.7,85.2,0.06,0.4,96,0.03,0.6,90.2,0.05,90.45,5.4,0.05,0.01,-7.33
1.1-12,676.439,-0.04,A01,Ala,A20,204,0.1,91.3,0.01,0,104.7,0,0.1,99,0.01,98.34,6.71,0.01,0,-8.28
1.1-13,683.449,3.06,A01,Leu,A13,253,72.2,22.5,10.35,68.9,25.7,9.45,72.9,25.9,10.56,24.72,1.92,10.12,0.59,-4.99
1.1-14,685.428,1.67,A01,Phe,A11,239,40,69.8,4.14,35.5,83.1,3.55,40.1,78.1,4.15,77.03,6.73,3.95,0.34,-5.4
1.1-15,689.496,3.67,A01,Leu,A14,266,58.9,11.8,7.2,54.8,11.9,6.43,56.7,12.4,6.77,12.04,0.29,6.8,0.39,-5.17
1.1-16,691.475,1.9,A01,Leu,A15,235,21.2,80.2,1.93,17.9,95.7,1.59,20.1,90.1,1.81,88.67,7.83,1.78,0.17,-5.75
1.1-17,697.465,3.59,A01,Phe,A12,259,63.7,14.9,8.21,61.2,16.1,7.67,62.5,16.4,7.93,15.8,0.78,7.94,0.27,-5.1
1.1-18,698.46,2.23,A01,Leu,A16,211,9.3,81.5,0.79,7.4,92.6,0.63,9.1,85.7,0.77,86.62,5.57,0.73,0.09,-6.14
1.1-19,711.48,3.84,A01,Leu,A17,259,63.1,13.4,8.08,60.7,14.3,7.57,61,15,7.62,14.25,0.78,7.75,0.28,-5.11
1.1-20,713.46,3.11,A01,Leu,A18,256,57.2,15.9,6.87,53.5,17,6.19,55.4,16.6,6.53,16.52,0.53,6.53,0.34,-5.19
1.1-21,715.487,2.49,A01,Leu,A19,231,12.3,84,1.06,10.3,94.8,0.88,12.5,91.1,1.08,89.96,5.52,1.01,0.11,-6
1.1-22,717.433,3.39,A01,Phe,A13,254,55.9,12.5,6.62,56.2,12.7,6.69,59.1,13.4,7.25,12.89,0.44,6.85,0.34,-5.16
1.1-23,718.486,1.2,A01,Leu,A20,225,1.4,84.4,0.11,0.9,90.6,0.08,1.2,95.8,0.1,90.26,5.71,0.1,0.02,-7.02
1.1-24,723.48,3.99,A01,Phe,A14,266,30,7.7,2.88,30.7,7,2.97,29.4,7.6,2.82,7.45,0.37,2.89,0.07,-5.54
1.1-25,725.46,2.22,A01,Phe,A15,238,33.2,71.6,3.27,29.3,81.3,2.8,34.8,76.5,3.46,76.46,4.83,3.18,0.34,-5.5
1.1-26,732.444,2.56,A01,Phe,A16,213,16.6,77.1,1.47,13.2,89.1,1.14,16.7,83.6,1.48,83.28,6,1.36,0.19,-5.87
1.1-27,735.444,2.58,A01,2-Nal,A11,251,59.2,21,7.25,54.6,23.7,6.4,56.7,23.2,6.77,22.62,1.46,6.8,0.43,-5.17
1.1-28,745.465,4.16,A01,Phe,A17,259,41.4,8.9,4.32,39.4,8.8,4.05,38.9,9.6,3.99,9.09,0.44,4.12,0.17,-5.38
1.1-29,747.444,3.44,A01,Phe,A18,257,37.9,10.1,3.85,30.6,10.3,2.96,33.2,10.9,3.27,10.42,0.42,3.36,0.45,-5.47
1.1-30,747.48,4.5,A01,2-Nal,A12,267,2.9,5.6,0.24,3.2,7.4,0.26,5.6,7.3,0.47,6.79,1,0.32,0.13,-6.49
1.1-31,749.471,2.81,A01,Phe,A19,233,22.9,76.9,2.1,19.1,90.5,1.71,23.9,83.9,2.21,83.75,6.81,2.01,0.26,-5.7
1.1-32,752.471,1.52,A01,Phe,A20,228,3.6,77.8,0.3,2.4,89.4,0.2,3.2,89.5,0.26,85.58,6.72,0.25,0.05,-6.6
1.1-33,767.449,4.3,A01,2-Nal,A13,264,8.3,10.6,0.7,12.4,11.6,1.07,8.4,10.6,0.71,10.92,0.59,0.83,0.21,-6.08
1.1-34,773.496,4.9,A01,2-Nal,A14,275,3,10.2,0.25,2.9,11.5,0.24,3.6,10.5,0.3,10.74,0.67,0.26,0.03,-6.58
1.1-35,775.475,3.13,A01,2-Nal,A15,249,53.7,25.6,6.23,48.4,29,5.35,52.2,27.6,5.98,27.37,1.7,5.85,0.45,-5.23
1.1-36,782.46,3.47,A01,2-Nal,A16,225,35.2,28,3.51,29.3,30.9,2.81,31.1,31.9,3.02,30.28,2.02,3.11,0.36,-5.51
1.1-37,795.48,5.07,A01,2-Nal,A17,267,0,8.4,0,0,9.4,0,3,9.1,0.25,8.97,0.5,0.08,0.14,-7.08
1.1-38,797.46,4.34,A01,2-Nal,A18,266,6.3,8.3,0.53,4.2,9.9,0.35,6.8,8.7,0.57,8.96,0.85,0.48,0.12,-6.32
1.1-39,799.487,3.72,A01,2-Nal,A19,243,37.2,28.3,3.77,29.8,32.7,2.87,36.1,30.6,3.63,30.53,2.24,3.42,0.49,-5.47
1.1-40,802.486,2.43,A01,2-Nal,A20,238,17.9,61.1,1.6,12.5,73.2,1.08,17.4,68.6,1.54,67.6,6.12,1.41,0.28,-5.85
1.2-01,623.413,0.64,A02,Ala,A11,220,3.1,97.4,0.25,3.4,90.5,0.28,3.7,90.4,0.3,92.77,4.02,0.28,0.02,-6.56
1.2-02,635.449,2.56,A02,Ala,A12,241,67.1,83.5,8.99,66.6,81.3,8.89,66.6,84.4,8.88,83.08,1.57,8.92,0.06,-5.05
1.2-03,655.418,2.36,A02,Ala,A13,238,59.7,77,7.36,61.1,76.2,7.65,60.4,79.9,7.49,77.69,1.92,7.5,0.14,-5.12
1.2-04,661.465,2.96,A02,Ala,A14,250,76.6,53.5,11.77,74.6,53.8,11.08,77.4,54.3,12.03,53.89,0.42,11.63,0.49,-4.93
1.2-05,663.444,1.19,A02,Ala,A15,219,2.3,94.5,0.19,2.5,88.8,0.21,2.7,88.7,0.22,90.63,3.33,0.21,0.02,-6.69
1.2-06,665.46,1.87,A02,Leu,A11,245,56.4,85.5,6.72,57.2,83.8,6.86,58.7,84.3,7.15,84.57,0.88,6.91,0.22,-5.16
1.2-07,670.429,1.53,A02,Ala,A16,198,1.3,109.1,0.1,1.4,97.1,0.12,1.5,101.4,0.12,102.53,6.1,0.11,0.01,-6.94
1.2-08,677.496,3.79,A02,Leu,A12,265,55.2,15.6,6.5,52.1,15.8,5.95,46.8,16.6,5.1,16.02,0.52,5.85,0.7,-5.23
1.2-09,683.449,3.13,A02,Ala,A17,244,74.3,66,10.99,71.8,68.1,10.25,75.4,68.9,11.36,67.65,1.5,10.87,0.57,-4.96
1.2-10,685.428,2.4,A02,Ala,A18,242,54.3,61.8,6.34,50.6,61.1,5.71,53.1,62.1,6.13,61.64,0.53,6.06,0.32,-5.22
1.2-11,687.455,1.78,A02,Ala,A19,217,1.6,93.5,0.13,1.6,90.8,0.13,1.9,91.4,0.15,91.92,1.44,0.14,0.01,-6.86
1.2-12,690.455,0.49,A02,Ala,A20,211,0.1,98.7,0.01,0.1,96.2,0.01,0.1,95.8,0.01,96.89,1.58,0.01,0,-7.96
1.2-13,697.465,3.59,A02,Leu,A13,259,57.7,16.7,6.97,54.2,16.4,6.32,50.3,16.9,5.65,16.65,0.22,6.31,0.66,-5.2
1.2-14,699.444,2.2,A02,Phe,A11,246,60,61.7,7.41,61.1,59.9,7.64,61.2,61.6,7.66,61.08,1,7.57,0.14,-5.12
1.2-15,703.512,4.19,A02,Leu,A14,272,24.3,10.9,2.26,23.7,10.7,2.18,17.6,11.2,1.57,10.93,0.24,2,0.38,-5.7
1.2-16,705.491,2.42,A02,Leu,A15,242,43.6,88.4,4.63,42.1,88.1,4.42,43.4,89.1,4.61,88.56,0.53,4.55,0.12,-5.34
1.2-17,711.48,4.11,A02,Phe,A12,265,31.9,10.4,3.11,29.6,10.5,2.85,24.6,11.5,2.29,10.8,0.58,2.75,0.42,-5.56
1.2-18,712.476,2.76,A02,Leu,A16,218,24.9,84.9,2.32,24.8,85,2.31,26.6,85,2.5,84.97,0.06,2.38,0.11,-5.62
1.2-19,725.496,4.36,A02,Leu,A17,265,32.2,10.5,3.15,29.3,10.5,2.8,23.8,11.3,2.2,10.75,0.47,2.72,0.48,-5.57
1.2-20,727.475,3.64,A02,Leu,A18,263,31,9.7,3,28,10.2,2.66,23.1,11.2,2.12,10.39,0.77,2.6,0.44,-5.59
1.2-21,729.502,3.01,A02,Leu,A19,238,26.7,83.7,2.51,27.4,80.7,2.59,27.7,86.7,2.62,83.7,3.04,2.57,0.06,-5.59
1.2-22,731.449,3.91,A02,Phe,A13,260,28.5,10.2,2.71,25.4,10.3,2.37,21.9,11,2,10.5,0.41,2.36,0.36,-5.63
1.2-23,732.502,1.72,A02,Leu,A20,232,3.7,90.3,0.3,2.8,85.5,0.23,4,90.6,0.33,88.79,2.84,0.29,0.05,-6.54
1.2-24,737.496,4.52,A02,Phe,A14,272,7.7,10.4,0.65,8,10.3,0.67,5.5,10.8,0.46,10.54,0.26,0.59,0.12,-6.23
1.2-25,739.475,2.75,A02,Phe,A15,244,54.4,63.2,6.36,53.7,63.7,6.23,55.8,62.6,6.61,63.18,0.56,6.4,0.19,-5.19
1.2-26,746.46,3.08,A02,Phe,A16,221,26.5,68.1,2.49,27.2,66.7,2.57,29,67.1,2.77,67.28,0.71,2.61,0.15,-5.58
1.2-27,749.46,3.11,A02,2-Nal,A11,257,45.8,15.3,4.95,45.2,15,4.87,39,15.2,4,15.17,0.13,4.61,0.53,-5.34
1.2-28,759.48,4.69,A02,Phe,A17,265,12.4,9.7,1.07,11.4,9.7,0.98,8.1,10.5,0.68,9.96,0.47,0.91,0.2,-6.04
1.2-29,761.46,3.96,A02,Phe,A18,263,11.9,9.5,1.03,10.9,10,0.94,8.3,10.6,0.7,10.02,0.57,0.89,0.17,-6.05
1.2-30,761.496,5.02,A02,2-Nal,A12,272,0.4,11.1,0.03,1.4,9.7,0.11,0.6,12.3,0.05,11.03,1.26,0.06,0.04,-7.2
1.2-31,763.487,3.34,A02,Phe,A19,240,37.3,69,3.78,35.7,67.3,3.58,36.9,68.4,3.73,68.24,0.87,3.69,0.1,-5.43
1.2-32,766.486,2.04,A02,Phe,A20,235,6.5,97.7,0.54,6.4,92.6,0.53,7.9,97.5,0.67,95.94,2.88,0.58,0.07,-6.24
1.2-33,781.465,4.82,A02,2-Nal,A13,269,3,18.3,0.24,2.3,20.1,0.19,1.4,17.8,0.11,18.71,1.19,0.18,0.06,-6.74
1.2-34,787.512,5.42,A02,2-Nal,A14,280,0.7,21.5,0.06,0.9,19.5,0.07,0.5,22.5,0.04,21.14,1.54,0.06,0.01,-7.24
1.2-35,789.491,3.66,A02,2-Nal,A15,255,44.5,16.8,4.77,41.5,16.6,4.34,37.4,16.8,3.8,16.73,0.1,4.3,0.49,-5.37
1.2-36,796.476,3.99,A02,2-Nal,A16,231,40.7,21.3,4.23,36.7,20.7,3.7,32.3,22.2,3.16,21.37,0.74,3.7,0.53,-5.43
1.2-37,809.496,5.6,A02,2-Nal,A17,272,0.6,19.2,0.05,0.5,18.7,0.04,0.3,19.4,0.02,19.1,0.36,0.04,0.01,-7.44
1.2-38,811.475,4.87,A02,2-Nal,A18,272,0.9,20.2,0.07,0.6,22.3,0.05,0.4,20.2,0.04,20.86,1.21,0.05,0.02,-7.29
1.2-39,813.502,4.25,A02,2-Nal,A19,249,33.3,18.3,3.28,29.8,18.3,2.86,28.9,18.8,2.76,18.46,0.28,2.97,0.28,-5.53
1.2-40,816.502,2.95,A02,2-Nal,A20,245,19.9,50,1.79,18.4,48.3,1.65,20.2,49.8,1.83,49.35,0.96,1.76,0.09,-5.76
1.3-01,637.428,0.96,A03,Ala,A11,227,9.3,92.9,0.79,10.7,97,0.92,9.6,90.8,0.82,93.59,3.16,0.84,0.07,-6.08
1.3-02,649.465,2.88,A03,Ala,A12,247,75.2,68.7,11.3,79.4,73.8,12.8,81.3,70.5,13.56,70.99,2.62,12.55,1.15,-4.9
1.3-03,669.433,2.67,A03,Ala,A13,244,67.9,62.1,9.19,75.3,68.3,11.31,73.6,66.1,10.78,65.49,3.12,10.42,1.1,-4.98
1.3-04,675.48,3.28,A03,Ala,A14,256,69.2,34.8,9.54,75.3,38.2,11.33,77.7,37.3,12.14,36.77,1.79,11,1.33,-4.96
1.3-05,677.46,1.51,A03,Ala,A15,226,5.9,95.1,0.5,7.2,99.3,0.61,6.5,89.6,0.55,94.7,4.86,0.55,0.06,-6.26
1.3-06,679.475,2.19,A03,Leu,A11,251,66.4,55.2,8.83,71.1,62.4,10.04,72.5,61.3,10.45,59.62,3.91,9.77,0.84,-5.01
1.3-07,684.444,1.85,A03,Ala,A16,204,3.3,87.3,0.27,4.1,95.7,0.34,3.2,93.3,0.27,92.07,4.31,0.29,0.04,-6.54
1.3-08,691.512,4.11,A03,Leu,A12,270,25.6,12,2.4,30,11.8,2.89,33.9,10.9,3.35,11.57,0.56,2.88,0.48,-5.54
1.3-09,697.465,3.45,A03,Ala,A17,249,69.9,43,9.71,74.2,47.7,10.95,78.5,48.7,12.45,46.49,3.02,11.04,1.37,-4.96
1.3-10,699.444,2.72,A03,Ala,A18,248,66.4,44.1,8.82,65,44.9,8.5,68.1,44.8,9.25,44.59,0.42,8.85,0.38,-5.05
1.3-11,701.471,2.1,A03,Ala,A19,224,4,95.6,0.33,5.3,99.6,0.44,4.3,90.1,0.36,95.11,4.79,0.38,0.06,-6.43
1.3-12,704.471,0.81,A03,Ala,A20,218,0.2,102,0.02,0.4,94.4,0.03,0.2,100.7,0.02,99.01,4.06,0.02,0.01,-7.62
1.3-13,711.48,3.91,A03,Leu,A13,264,29.3,12.2,2.81,35.9,12,3.6,42.8,11,4.52,11.72,0.62,3.65,0.86,-5.44
1.3-14,713.46,2.52,A03,Phe,A11,253,61.7,34,7.76,66.6,36.6,8.87,70.2,38.3,9.79,36.29,2.19,8.81,1.02,-5.06
1.3-15,717.527,4.51,A03,Leu,A14,277,6.4,11.5,0.53,7.7,11.5,0.65,8.6,10.5,0.73,11.18,0.56,0.64,0.1,-6.2
1.3-16,719.507,2.74,A03,Leu,A15,248,61.6,73.8,7.75,66.9,80.3,8.94,67.3,76.4,9.04,76.81,3.3,8.58,0.72,-5.07
1.3-17,725.496,4.43,A03,Phe,A12,269,13.7,12.1,1.19,10.6,11.3,0.91,12.5,10.3,1.08,11.24,0.94,1.06,0.14,-5.97
1.3-18,726.491,3.08,A03,Leu,A16,224,43.4,75.2,4.61,48.9,85.1,5.44,48.1,79,5.3,79.75,4.98,5.12,0.45,-5.29
1.3-19,739.512,4.68,A03,Leu,A17,270,9.3,11.5,0.79,11.4,10.8,0.98,12.8,9.8,1.11,10.71,0.83,0.96,0.16,-6.02
1.3-20,741.491,3.95,A03,Leu,A18,268,12.3,10.8,1.06,14.8,10.5,1.3,17.3,8.5,1.54,9.93,1.24,1.3,0.24,-5.89
1.3-21,743.518,3.33,A03,Leu,A19,244,42.3,76.5,4.45,50.4,81.9,5.67,46.7,79.7,5.09,79.37,2.74,5.07,0.61,-5.3
1.3-22,745.465,4.23,A03,Phe,A13,265,7.7,12.9,0.65,10.7,11.4,0.92,12.1,10.1,1.04,11.44,1.38,0.87,0.2,-6.06
1.3-23,746.517,2.04,A03,Leu,A20,238,5.4,85.9,0.45,8,87.4,0.67,5.7,81.5,0.48,84.94,3.07,0.53,0.12,-6.27
1.3-24,751.512,4.84,A03,Phe,A14,277,1.7,15.6,0.14,1.9,15.7,0.16,1.9,15.2,0.16,15.53,0.27,0.15,0.01,-6.82
1.3-25,753.491,3.07,A03,Phe,A15,250,60.1,40.9,7.43,66.3,45.1,8.8,68.1,46.1,9.24,44.02,2.73,8.49,0.94,-5.07
1.3-26,760.476,3.4,A03,Phe,A16,227,38.2,49.3,3.9,44.1,54,4.71,44.1,51.8,4.71,51.69,2.31,4.44,0.47,-5.35
1.3-27,763.475,3.42,A03,2-Nal,A11,262,19.5,12,1.76,24.3,12.1,2.25,28.5,10.1,2.72,11.39,1.08,2.24,0.48,-5.65
1.3-28,773.496,5.01,A03,Phe,A17,270,2.8,14.4,0.23,3.2,14,0.26,3.7,13,0.31,13.8,0.73,0.27,0.04,-6.57
1.3-29,775.475,4.28,A03,Phe,A18,268,4.9,14.6,0.41,5.7,14.6,0.47,6.4,12.7,0.54,13.97,1.09,0.47,0.07,-6.33
1.3-30,775.512,5.34,A03,2-Nal,A12,277,0.1,25.3,0.01,0,27.2,0,0,22.7,0,25.05,2.24,0,0,-8.59
1.3-31,777.502,3.66,A03,Phe,A19,245,47.9,51,5.28,54.7,55.3,6.41,55.7,53.9,6.58,53.43,2.19,6.09,0.71,-5.22
1.3-32,780.502,2.36,A03,Phe,A20,241,9.2,83.2,0.79,13.4,88.6,1.17,9.9,81,0.84,84.26,3.94,0.93,0.21,-6.03
1.3-33,795.48,5.14,A03,2-Nal,A13,274,0.2,33.9,0.02,0.2,33.3,0.01,0.3,30,0.02,32.39,2.1,0.02,0.01,-7.78
1.3-34,801.527,5.74,A03,2-Nal,A14,284,0,40.4,0,0,45,0,0.1,39.6,0.01,41.64,2.92,0,0,-8.71
1.3-35,803.507,3.97,A03,2-Nal,A15,260,26.1,13.3,2.45,31,13.2,3,35.1,12,3.5,12.84,0.7,2.99,0.53,-5.53
1.3-36,810.491,4.31,A03,2-Nal,A16,236,26,17,2.44,33.4,16.8,3.29,32.8,15.2,3.22,16.34,0.98,2.98,0.47,-5.53
1.3-37,823.512,5.92,A03,2-Nal,A17,277,0,38.4,0,0,43.9,0,0,35.6,0,39.3,4.2,0,0,-8.95
1.3-38,825.491,5.19,A03,2-Nal,A18,277,0.1,37.4,0.01,0.1,42.8,0.01,0.2,35.2,0.01,38.45,3.9,0.01,0,-7.97
1.3-39,827.518,4.57,A03,2-Nal,A19,254,19.4,13.4,1.75,26.2,12.9,2.46,26.2,11.2,2.46,12.5,1.16,2.22,0.41,-5.65
1.3-40,830.517,3.27,A03,2-Nal,A20,251,19.8,31.3,1.78,26.7,32.2,2.52,20.5,33.3,1.86,32.25,1.01,2.05,0.4,-5.69
1.4-01,681.455,0.43,A04,Ala,A11,227,5.9,92.2,0.49,5.9,91.1,0.49,5.3,96.7,0.44,93.34,2.98,0.48,0.03,-6.32
1.4-02,693.491,2.34,A04,Ala,A12,248,82.6,71.3,14.15,78.9,71,12.59,78.6,72.4,12.49,71.59,0.75,13.07,0.93,-4.88
1.4-03,713.46,2.14,A04,Ala,A13,245,73.8,66.8,10.85,73,69.5,10.61,72.3,70,10.38,68.77,1.69,10.61,0.23,-4.97
1.4-04,719.507,2.75,A04,Ala,A14,257,87,44.3,16.53,84.3,47.6,15,84,48,14.83,46.62,2.01,15.46,0.94,-4.81
1.4-05,721.486,0.98,A04,Ala,A15,227,4.3,91.6,0.35,4.3,90.7,0.35,3.8,96.6,0.31,92.99,3.2,0.34,0.02,-6.47
1.4-06,723.501,1.66,A04,Leu,A11,252,69.1,66.9,9.49,66.1,72.5,8.75,64.2,72.2,8.32,70.55,3.17,8.85,0.6,-5.05
1.4-07,728.471,1.31,A04,Ala,A16,206,2.4,97.4,0.2,2.2,93.4,0.18,2,101.2,0.16,97.31,3.87,0.18,0.02,-6.74
1.4-08,735.538,3.57,A04,Leu,A12,271,49.2,9.1,5.48,54,9.8,6.28,49.4,11.3,5.51,10.05,1.15,5.76,0.46,-5.24
1.4-09,741.491,2.92,A04,Ala,A17,250,81.2,50.6,13.54,80.4,50.9,13.19,79.2,54.7,12.7,52.06,2.25,13.14,0.42,-4.88
1.4-10,743.47,2.19,A04,Ala,A18,248,67.9,46.2,9.19,64.9,48.7,8.47,65.2,49.9,8.55,48.27,1.93,8.74,0.39,-5.06
